ID,Genero,Casado,Edad,Graduado,Profesion,Experiencia_laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos_anuales_brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno,cluster
CLI10,F,Si,67,Si,Ingeniero,+20annos,Bajo,3,1957,Generacion X,93442,Segovia,1385,80,1,195,,Adultos equilibrados y con poder (3)
CLI100,M,Si,64,Si,Medico,+20annos,Medio,2,1960,Generacion X,99774,Alicante,1052,50,1,360,5.0,Jóvenes con bajos ingresos(1)
CLI1000,M,Si,65,Si,Artista,+20annos,Medio,3,1959,Generacion X,36756,Toledo,1717,30,0,407,3.0,Jóvenes con bajos ingresos(1)
CLI10000,M,No,33,No,Funcionario,10-20annos,Bajo,4,1991,Millennials,24616,Leon,1606,30,0,544,4.0,"Ricos, mayores y no digitales (2)"
CLI10001,M,Si,52,No,Otros,+20annos,Medio,2,1972,Generacion X,29834,LLeida,1346,30,1,170,,Jóvenes con bajos ingresos(1)
CLI10002,M,Si,76,No,Artista,+20annos,Bajo,1,1948,Generacion X,88523,Ciudad Real,158,120,0,358,5.0,Adultos equilibrados y con poder (3)
CLI10003,M,Si,45,Si,Otros,+20annos,Bajo,5,1979,Generacion X,112808,ivila,939,30,0,442,3.0,Jóvenes con bajos ingresos(1)
CLI10004,M,Si,36,No,Ejecutivo,10-20annos,Bajo,6,1988,Millennials,18885,Guipiºzcoa,824,30,0,124,,Jóvenes con gasto moderado (0)
CLI10005,M,No,30,Si,Funcionario,<10annos,Bajo,5,1994,Millennials,21358,Vizcaya,1675,30,0,70,,"Ricos, mayores y no digitales (2)"
CLI10006,M,Si,42,Si,Ingeniero,+20annos,Bajo,2,1982,Millennials,46283,Orense,1008,50,0,403,3.0,Jóvenes con gasto moderado (0)
CLI10007,M,Si,39,Si,Artista,10-20annos,Medio,4,1985,Millennials,27934,Castellon,1077,30,0,596,4.0,Jóvenes con gasto moderado (0)
CLI10008,M,Si,30,Si,Artista,<10annos,Bajo,2,1994,Millennials,29611,Pontevedra,1123,30,0,439,3.0,"Ricos, mayores y no digitales (2)"
CLI10009,F,Si,56,Si,Construccion,+20annos,Bajo,1,1968,Generacion X,23165,Almeri­a,661,30,0,269,,Jóvenes con gasto moderado (0)
CLI1001,M,Si,54,Si,Otros,+20annos,Bajo,1,1970,Generacion X,31813,Valladolid,1013,30,0,124,,Jóvenes con gasto moderado (0)
CLI10010,F,Si,57,Si,Ingeniero,+20annos,Bajo,1,1967,Generacion X,65881,Jaen,857,50,0,100,,Jóvenes con gasto moderado (0)
CLI10011,M,No,58,Si,Medico,+20annos,Bajo,1,1966,Generacion X,98016,Lugo,583,50,1,111,,Jóvenes con gasto moderado (0)
CLI10012,M,Si,47,Si,Artista,+20annos,Medio,2,1977,Generacion X,118920,Santa Cruz de Tenerife,622,50,1,299,,Jóvenes con bajos ingresos(1)
CLI10013,M,Si,46,Si,Medico,+20annos,Bajo,2,1978,Generacion X,110986,Albacete,1033,50,1,353,5.0,Jóvenes con gasto moderado (0)
CLI10014,M,No,40,Si,Medico,10-20annos,Bajo,1,1984,Millennials,118745,Huelva,985,50,0,594,4.0,Jóvenes con gasto moderado (0)
CLI10015,M,No,40,Si,Artista,10-20annos,Bajo,2,1984,Millennials,28101,Leon,1537,30,0,213,,"Ricos, mayores y no digitales (2)"
CLI10016,F,No,44,Si,Funcionario,+20annos,Bajo,1,1980,Generacion X,41542,Ciudad Real,847,50,0,481,3.0,Jóvenes con gasto moderado (0)
CLI10017,M,Si,52,Si,Otros,+20annos,Medio,3,1972,Generacion X,86337,Salamanca,1717,80,0,315,5.0,Jóvenes con bajos ingresos(1)
CLI10018,M,No,33,No,Medico,10-20annos,Bajo,2,1991,Millennials,23343,Pontevedra,1307,30,0,363,5.0,"Ricos, mayores y no digitales (2)"
CLI10019,F,Si,58,Si,Artista,+20annos,Bajo,1,1966,Generacion X,120481,Lugo,1737,50,0,336,5.0,Adultos equilibrados y con poder (3)
CLI1002,F,No,56,Si,Otros,+20annos,Bajo,1,1968,Generacion X,33444,Ceuta,1209,30,0,407,3.0,Jóvenes con gasto moderado (0)
CLI10020,M,Si,50,Si,Artista,+20annos,Medio,2,1974,Generacion X,63085,Baleares,994,50,0,58,,Jóvenes con bajos ingresos(1)
CLI10021,M,No,36,Si,Funcionario,10-20annos,Bajo,5,1988,Millennials,18101,LLeida,686,30,0,51,,"Ricos, mayores y no digitales (2)"
CLI10022,F,No,44,Si,Artista,+20annos,Bajo,2,1980,Generacion X,44724,Toledo,732,50,0,447,3.0,Jóvenes con gasto moderado (0)
CLI10023,F,Si,40,Si,Negocios/empresa,10-20annos,Bajo,1,1984,Millennials,56314,Gerona,156,50,0,463,1.0,Jóvenes con gasto moderado (0)
CLI10024,M,No,35,No,Ingeniero,10-20annos,Bajo,4,1989,Millennials,25008,Barcelona,1974,30,0,316,5.0,"Ricos, mayores y no digitales (2)"
CLI10025,F,Si,56,Si,Artista,+20annos,Bajo,2,1968,Generacion X,22001,Sevilla,1756,30,0,580,1.0,Jóvenes con gasto moderado (0)
CLI10026,F,No,54,Si,Artista,+20annos,Bajo,1,1970,Generacion X,21769,Almeri­a,642,30,0,493,3.0,Jóvenes con gasto moderado (0)
CLI10027,M,Si,89,No,Servicios,+20annos,Bajo,1,1935,Generacion Silenciosa,118924,ivila,1267,120,1,378,3.0,Adultos equilibrados y con poder (3)
CLI10028,M,Si,79,Si,Artista,+20annos,Medio,4,1945,Generacion Silenciosa,90739,Guadalajara,74,80,0,129,,Jóvenes con bajos ingresos(1)
CLI10029,F,No,77,Si,Artista,+20annos,Bajo,2,1947,Generacion X,123905,Salamanca,798,50,0,114,,Adultos equilibrados y con poder (3)
CLI1003,M,No,44,Si,Artista,+20annos,Bajo,2,1980,Generacion X,117230,Orense,1307,50,1,124,,Jóvenes con gasto moderado (0)
CLI10030,M,No,23,No,Funcionario,<10annos,Bajo,3,2001,Generacion Z,15394,Soria,2202,30,1,304,5.0,"Ricos, mayores y no digitales (2)"
CLI10031,M,No,23,No,Funcionario,<10annos,Bajo,5,2001,Generacion Z,22448,Albacete,1719,30,1,382,3.0,"Ricos, mayores y no digitales (2)"
CLI10032,F,Si,45,No,Otros,+20annos,Medio,4,1979,Generacion X,86899,Vizcaya,1123,30,0,542,4.0,Jóvenes con bajos ingresos(1)
CLI10033,F,No,54,No,Ingeniero,+20annos,Bajo,1,1970,Generacion X,112072,Caceres,955,120,0,389,3.0,Adultos equilibrados y con poder (3)
CLI10034,F,No,56,No,Otros,+20annos,Bajo,1,1968,Generacion X,102706,Albacete,955,120,0,316,5.0,Adultos equilibrados y con poder (3)
